INFO  [main] org.audiveris.omr.Main:250 | Running in batch mode
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6201 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6202 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6203 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5460 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5494 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6204 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6205 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5522 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6206 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5508 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:328 | set size: 4
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5485 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6207 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6208 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6209 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6210 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6211 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5468 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6212 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5524 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5480 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:328 | set size: 2
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5483 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6213 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5473 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:328 | set size: 2
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5502 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6214 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5489 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:328 | set size: 3
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5521 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6215 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6216 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5507 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6217 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5490 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:328 | set size: 3
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5523 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6218 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6219 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5509 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#6220 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5491 [SYMBOL]}
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:328 | set size: 1
DEBUG [cachedLow-thread-1] o.a.omr.sheet.symbol.SymbolsBuilder:194 | evaluateGlyph on Glyph{#5528 [SYMBOL]}
